text,value
sh1te,1.0
sh1tfuck,2.6
sh1th3ad,2.0
sh1theads,2.0
sh1ts,1.0
sh1tsome,1.2
sh1tt,1.0
sh1tty,1.2
sh3mal3,2.6
sh3male,2.4
shat,1.2
she-male,2.8
sheeeet,1.0
sheet,1.0
sheister,2.0
shemal3,1.8
shemale,2.6
shemales,1.8
shet,1.0
shi+,1.0
shi+e,1.0
shi+y,1.0
shiat,1.0
shiddick,2.0
shiester,2.0
shiesterfuck,2.2
shiesterfuckface,2.8
shiesterfuckhead,2.2
shiesterfucks,2.4
shipdit,1.4
shit,1.2
shit face,1.8
shit for brains,1.6
shit fuck,2.4
shit fucker,2.8
shit head,1.8
shit licker,2.0
shit stain,1.8
shit-arse,1.6
shit-ass,2.0
shit-bandit,1.6
shit-fucker,2.6
shit-stuffers,1.8
shit3,1.0
shitass,2.0
shitasses,2.0
shitassfucker,2.6
shitassfuckface,2.8
shitbag,2.0
shitbird,1.8
shitblimp,1.6
shitblimps,1.6
shitbrain,2.0
shitd1ck,2.0
shitdick,2.4
shitdicks,2.0
shitdikk,2.0
shitdip,1.8
shite,1.0
shiteblimps,1.8
shited,1.2
shitedick,2.0
shitefuck,1.6
shitefulls,1.8
shitehead,1.8
shites,1.0
shitey,1.2
shitface,2.0
shitfaced,1.2
shitfacefuck,2.8
shitfacefucker,2.6
shitfck,2.4
shitfk,1.8
shitfreak,2.0
shitfuck,2.2
shitfucker,2.4
shitfuckhead,2.6
shitfuckmotherfucker,2.8
shitfucks,2.4
shitfudgefucker,2.6
shitfvck,2.2
shithead,1.8
shitheadfucker,2.8
shitheadfuckface,2.4
shitheads,1.8
shithole,1.8
shits,1.0
shitsdick,1.8
shitsfuck,2.2
shitsful,1.0
shittastic,1.2
shittasticfuck,2.2
shitte,1.0
shitted,1.2
shitter,1.0
shitterfucker,2.6
shitti,1.0
shitties,1.0
shittiest,1.2
shitting,1.4
shittings,1.2
shitty,1.0
shitty mofoes,1.6
shittydick,2.0
shittydicks,2.0
shittyfuck,1.8
shittyfuckface,2.2
shittyful,1.6
shlong,1.0
shmale,1.4
shtfuk,1.8
shut the fuck up,2.2
shylock,1.6
shytfeisterfuck,2.6
sissy,1.0
sixty-nine,1.2
sk@nks,1.6
sk@nky,1.0
sk@nkz,1.4
skank,1.8
skanks,1.2
skanky,1.4
skankz,1.6
sl@nteye,3.0
slag,1.6
slantard,2.8
slanteye,3.0
slanteye b1tch,2.6
slanteyes,3.0
slanteyeshit,3.0
slantfreak,2.6
slanty,2.6
slit,1.6
slut,2.0
slut hole,2.4
sluts,1.6
slutty,1.8
snatch,1.0
snatch licker,2.8
soab,1.6
son o bitch,1.6
son of a bitch,1.2
